id,x1,y1,x2,y2,score
0,895,327,948,365,1
0,543,334,560,362,1
1,577,203,704,268,1
1,495,381,515,399,1
1,624,373,646,388,1
1,452,372,477,394,1
1,450,367,465,386,1
1,625,360,652,377,1
1,634,377,662,394,1
2,997,299,1014,327,1
2,450,320,489,344,1
2,536,343,566,359,1
2,792,351,808,376,1
2,11,257,31,290,1
2,1143,316,1181,345,1
2,1008,289,1031,322,1
2,211,290,231,319,1
2,787,337,807,364,1
2,542,351,572,369,1
2,774,347,793,377,1
2,613,361,631,378,1
2,1037,316,1064,335,1
2,1049,305,1073,329,1
2,462,335,486,356,1
2,475,332,498,354,1
2,611,376,632,395,1
2,206,302,224,331,1
2,447,329,470,349,1
3,1210,238,1251,329,1
3,679,362,707,377,1
3,648,359,686,378,1
3,604,461,621,478,1
3,338,457,357,481,1
3,637,365,669,394,1
4,437,424,470,440,1
4,1039,294,1059,332,1
4,1232,186,1268,259,1
4,436,463,457,481,1
4,629,464,645,481,1
4,1144,356,1167,382,1
4,1146,269,1184,295,1
4,1262,241,1279,325,1
4,257,446,275,463,1
4,433,416,478,432,1
4,367,412,383,439,1
4,1117,269,1136,303,1
4,247,472,271,501,1
4,672,448,688,467,1
4,251,421,275,449,1
4,244,430,266,458,1
5,591,389,649,424,1
5,494,434,522,463,1
5,737,443,757,459,1
5,488,441,507,460,1
6,1014,350,1032,374,1
6,1035,342,1082,367,1
6,1046,355,1075,376,1
6,1187,365,1212,399,1
6,710,472,727,494,1
6,691,464,713,495,1
6,1225,361,1251,386,1
7,590,389,656,422,1
7,397,386,424,412,1
7,483,436,504,467,1
7,440,426,466,458,1
7,491,449,512,474,1
8,1121,220,1197,266,1
8,1077,219,1097,267,1
8,173,384,203,407,1
8,975,245,1004,296,1
8,1011,421,1027,440,1
8,1175,341,1210,376,1
8,205,460,223,477,1
8,209,448,228,466,1
8,362,464,384,482,1
8,423,431,441,457,1
8,431,424,453,452,1
8,1186,319,1241,367,1
8,993,421,1014,447,1
8,365,473,384,495,1
8,379,472,396,488,1
8,0,414,18,443,1
8,5,387,26,421,1
9,732,352,772,376,1
9,157,217,220,261,1
9,733,342,766,360,1
9,102,337,125,366,1
9,925,313,953,335,1
9,535,278,557,312,1
9,932,304,962,323,1
9,924,299,941,326,1
9,779,381,795,399,1
9,909,308,932,338,1
10,645,333,686,358,1
10,808,437,833,472,1
10,878,330,900,365,1
10,514,342,552,362,1
10,412,352,438,394,1
10,730,361,749,382,1
10,729,372,750,394,1
10,646,359,670,378,1
10,870,345,888,369,1
10,634,374,653,390,1
10,744,358,765,380,1
11,553,341,594,366,1
11,583,335,611,352,1
11,415,314,444,341,1
12,772,338,795,358,1
12,502,351,520,369,1
12,225,166,246,201,1
12,782,344,800,364,1
12,237,170,256,200,1
12,548,339,574,358,1
12,772,352,788,381,1
12,109,274,129,306,1
12,940,360,958,376,1
12,488,353,507,369,1
12,97,275,118,309,1
12,66,332,88,358,1
12,81,329,102,355,1
12,523,334,542,352,1
12,490,339,521,361,1
13,657,241,733,280,1
13,940,279,987,347,1
13,415,317,445,337,1
13,360,299,395,321,1
13,312,303,337,326,1
13,311,316,328,337,1
13,370,310,403,332,1
13,414,305,449,325,1
14,1064,219,1094,280,1
14,733,359,750,375,1
14,511,335,544,355,1
14,562,365,582,382,1
14,743,347,763,364,1
14,588,380,604,400,1
14,196,363,213,385,1
15,1034,359,1070,423,1
15,667,466,685,486,1
16,79,98,179,211,1
16,1151,342,1181,373,1
16,399,428,419,453,1
16,1095,388,1116,424,1
16,1083,392,1102,423,1
16,678,437,696,466,1
16,869,424,888,452,1
16,855,433,872,458,1
16,851,456,867,475,1
17,482,461,499,478,1
17,1212,294,1239,341,1
17,629,463,653,479,1
17,494,463,511,479,1
17,321,427,344,455,1
17,337,424,359,456,1
17,625,477,645,498,1
18,412,451,440,480,1
18,404,445,426,469,1
18,154,483,169,502,1
18,539,439,559,466,1
18,834,437,860,467,1
18,827,425,858,450,1
18,523,433,543,454,1
18,689,479,706,497,1
19,236,353,255,388,1
19,1153,165,1237,304,1
19,1120,86,1203,260,1
19,572,444,590,461,1
20,285,428,321,461,1
20,451,294,469,338,1
20,551,302,576,342,1
20,601,330,651,361,1
20,459,306,475,349,1
20,545,325,563,354,1
21,2,294,26,355,1
21,986,407,1009,441,1
21,975,406,996,431,1
21,356,373,386,395,1
21,433,433,455,458,1
22,337,390,378,434,1
22,298,475,316,494,1
22,315,335,399,391,1
22,308,479,328,501,1
22,304,461,323,486,1
23,594,367,685,410,1
23,398,390,454,420,1
23,475,374,530,418,1
23,396,371,472,407,1
23,658,463,676,479,1
24,1122,256,1199,291,1
24,1055,254,1075,294,1
24,108,375,129,397,1
24,185,399,219,418,1
24,181,386,220,403,1
24,390,412,408,436,1
24,1040,261,1058,296,1
24,93,360,118,388,1
24,399,420,415,439,1
25,871,414,891,447,1
25,539,400,576,429,1
25,264,461,287,479,1
25,134,461,153,478,1
25,870,432,888,465,1
25,858,425,876,456,1
26,296,38,553,147,1
26,1045,281,1112,349,1
27,558,417,596,438,1
27,602,413,655,439,1
27,122,440,145,468,1
27,129,452,152,480,1
27,589,400,632,423,1
27,144,446,167,478,1
27,564,400,601,427,1
28,810,369,843,433,1
28,624,434,649,451,1
28,907,406,925,436,1
28,496,253,522,304,1
28,886,377,907,399,1
28,247,382,272,424,1
28,678,440,697,461,1
28,569,421,588,444,1
29,372,441,395,478,1
30,805,377,840,419,1
30,626,296,709,332,1
30,1157,199,1196,267,1
31,235,347,253,381,1
31,1158,146,1229,313,1
31,551,442,577,466,1
31,543,446,562,467,1
31,1119,84,1203,259,1
31,576,451,597,467,1
31,569,442,589,460,1
32,586,379,603,396,1
33,1011,373,1043,399,1
33,953,387,1000,417,1
33,480,463,496,484,1
33,481,478,498,496,1
